,City,Price(TL),ListingDate,Brand,Series,Model,Year,Kilometers,GearType,FuelType,BodyType,Color,EngineSize,EnginePower,DriveType,TradeInStatus,SellerType,VehicleTax(),District,DaysSinceListing,NumOriginalParts,NumLocalPaintedParts,NumPaintedParts,NumChangedParts,NumUnknownParts,HasDamage,HasHighDamage,DamageCost
51,İzmir,450000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.6 Attraction,2008,229000.0,Düz,LPG & Benzin,Hatchback/3,Siyah,1595.0,102.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Bornova,6,0,0,0,0,13,1.0,1,
52,Kocaeli,620000,2025-04-08 00:00:00,Audi,A6,A6 Sedan 2.0 TDI,2008,420000.0,Otomatik,Dizel,Sedan,Mavi,1968.0,140.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,1.198,Gebze,6,3,0,1,2,7,1.0,0,20000.0
53,İstanbul,1350000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,2017,81000.0,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,999.0,116.0,Önden Çekiş,Belirtilmemis,Sahibinden,71882,Esenler,6,0,0,0,0,13,0.0,0,
54,Sakarya,230000,2025-04-08 00:00:00,Audi,A4,A4 Sedan 1.8 T,2001,479000.0,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),1781.0,150.0,Önden Çekiş,Takasa Uygun,Sahibinden,780.0,Karasu,6,8,0,4,1,0,,0,
55,İstanbul,630000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.6 TDI Attraction,2012,314000.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598.0,105.0,Önden Çekiş,Belirtilmemis,Sahibinden,2587,Büyükçekmece,6,10,0,2,1,0,,0,
56,Ankara,485000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.6 Ambiente,2008,328000.0,Otomatik,LPG & Benzin,Hatchback/3,Siyah,1595.0,102.0,Önden Çekiş,Takasa Uygun,Sahibinden,993,Altındağ,6,0,0,11,0,2,,0,
57,Muğla,375500,2025-04-08 00:00:00,Audi,A4,A4 Sedan 1.6,2004,390000.0,Düz,LPG & Benzin,Sedan,Siyah,1595.0,102.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Fethiye,6,0,1,0,0,12,,0,
58,Amasya,495000,2025-04-08 00:00:00,Audi,A6,A6 Sedan 2.5 TDI,2001,178000.0,Otomatik,Dizel,Sedan,Siyah,2496.0,180.0,Önden Çekiş,Takasa Uygun,Sahibinden,1.818,Merkez,6,0,0,11,2,0,,0,
59,Ankara,465000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.6 Ambition,2004,357000.0,Düz,LPG & Benzin,Hatchback/3,Gri (Gümüş),1595.0,102.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Etimesgut,6,0,0,4,0,9,0.0,0,
60,İzmir,525000,2025-04-08 00:00:00,Audi,A4,A4 Sedan 2.0 TDI,2006,356000.0,Otomatik,Dizel,Sedan,Siyah,1968.0,140.0,Önden Çekiş,Belirtilmemis,Sahibinden,2487,Bornova,6,0,0,0,0,13,,0,
61,Burdur,655000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.4 TFSI Ambition,2008,295000.0,Yarı Otomatik,Benzin,Hatchback/3,Gri (metalik),1390.0,125.0,Önden Çekiş,Belirtilmemis,Sahibinden,993,Merkez,6,13,0,0,0,0,0.0,0,
62,Ankara,370000,2025-04-08 00:00:00,Audi,A3,A3 Sportback 1.6 Ambition,2004,385000.0,Düz,LPG & Benzin,Hatchback/3,Mavi,1595.0,102.0,Önden Çekiş,Takasa Uygun,Sahibinden,436.0,Yenimahalle,6,0,0,2,2,9,,0,
63,Bartın,1175000,2025-04-07 00:00:00,Audi,A3,A3 Sedan 1.6 TDI S Line,2014,192000.0,Otomatik,Dizel,Sedan,Siyah,1500.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,3661,,7,6,3,3,1,0,,0,
64,Balıkesir,3515000,2025-04-07 00:00:00,Audi,A4,A4 Sedan 40 TDI Quattro S Line,2024,25000.0,Otomatik,Dizel,Sedan,Lacivert,1900.0,213.0,4WD (Sürekli),Takasa Uygun,Belirtilmemis,28142,Altıeylül,7,11,1,1,0,0,,0,
65,Antalya,770000,2025-04-07 00:00:00,Audi,A4,A4 Sedan 2.0 TDI,2008,195000.0,Düz,Dizel,Sedan,Füme,1968.0,170.0,Önden Çekiş,Belirtilmemis,Sahibinden,2487,Muratpaşa,7,5,1,5,0,2,1.0,0,1110.0
66,Gaziantep,2350000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 2.0 TDI Quattro,2018,184000.0,Otomatik,Dizel,Sedan,Beyaz,1900.0,188.0,4WD (Sürekli),Takasa Uygun Değil,Belirtilmemis,12734,Şehitkamil,7,13,0,0,0,0,,0,
67,Niğde,1230000,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.6 TDI Ambition,2015,113000.0,Otomatik,Dizel,Hatchback/5,Beyaz,1500.0,113.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,3661,Merkez,7,13,0,0,0,0,,0,
68,Konya,2065000,2025-04-07 00:00:00,Audi,A8,3.0 TDI Quattro Long,2012,358000.0,Otomatik,Dizel,Sedan,Beyaz,2967.0,250.0,4WD (Sürekli),Takasa Uygun,Galeriden,6.915,Karatay,7,8,1,2,2,0,,0,
69,Antalya,959000,2025-04-07 00:00:00,Audi,A3,A3 Sedan 1.6 TDI Ambiente,2014,205000.0,Otomatik,Dizel,Sedan,Siyah,1500.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,3661,Muratpaşa,7,13,0,0,0,0,,0,
70,Antalya,1260000,2025-04-07 00:00:00,Audi,A3,A3 Sedan 1.6 TDI Ambition,2016,172000.0,Otomatik,Dizel,Sedan,Beyaz,1500.0,113.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,3661,Kepez,7,12,0,0,1,0,1.0,0,3000.0
71,Konya,635000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 2.0 TDI,2009,437000.0,Otomatik,Dizel,Sedan,Siyah,1900.0,138.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,2487,Karatay,7,6,0,6,1,0,,0,
72,İstanbul,770000,2025-04-07 00:00:00,Audi,A4,A4 Sedan 2.0 TFSI Quattro,2006,175000.0,Otomatik,Benzin,Sedan,Gri,1984.0,200.0,4WD (Sürekli),Takasa Uygun Değil,Sahibinden,1.198,Bahçelievler,7,13,0,0,0,0,0.0,0,
73,Kayseri,2025000,2025-04-07 00:00:00,Audi,A5,A5 Sportback 1.4 TFSI,2017,167000.0,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1395.0,150.0,Önden Çekiş,Takasa Uygun,Sahibinden,1.606,Kocasinan,7,0,0,2,0,11,,0,
74,Çanakkale,570000,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.8 TFSI Ambition,2009,259000.0,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1798.0,160.0,Önden Çekiş,Takasa Uygun,Sahibinden,780.0,Merkez,7,4,1,2,4,2,1.0,0,105000.0
75,İstanbul,900000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 3.2 FSI Quattro,2005,155000.0,Otomatik,Benzin,Sedan,Gri,3123.0,255.0,4WD (Sürekli),Takasa Uygun Değil,Sahibinden,3.57,Beşiktaş,7,0,0,0,0,13,,0,
76,Van,725000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 2.0 TDI,2008,502000.0,Otomatik,Dizel,Sedan,Siyah,1968.0,140.0,Önden Çekiş,Belirtilmemis,Sahibinden,2487,Erciş,7,0,1,1,1,10,,0,
77,Ankara,765000,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.6 TDI Attraction,2011,242500.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598.0,105.0,Önden Çekiş,Belirtilmemis,Sahibinden,2587,Çubuk,7,0,0,0,0,13,,0,
78,İstanbul,1225000,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,2017,114000.0,Yarı Otomatik,Benzin,Hatchback/5,Siyah,999.0,116.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,826.0,Kadıköy,7,11,0,1,1,0,,0,
79,Adana,1030000,2025-04-07 00:00:00,Audi,A3,A3 Sedan 1.2 TFSI Attraction,2015,93000.0,Düz,Benzin,Sedan,Beyaz,1197.0,110.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,826.0,Çukurova,7,0,1,0,0,12,0.0,0,
80,İstanbul,910000,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.4 TFSI Attraction,2014,96200.0,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1395.0,150.0,Önden Çekiş,Takasa Uygun Değil,Yetkili Bayiden,1.606,Beşiktaş,7,0,0,0,0,13,,0,
81,Hatay,3175000,2025-04-07 00:00:00,Audi,A5,A5 Sportback 40 TDI Quattro S Line,2020,63515.0,Otomatik,Dizel,Hatchback/5,Siyah,1900.0,213.0,4WD (Sürekli),Takasa Uygun Değil,Belirtilmemis,21677,Belen,7,11,0,2,0,0,0.0,0,
82,İstanbul,868950,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.6 TDI Attraction,2013,160000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598.0,105.0,Önden Çekiş,Takasa Uygun Değil,Galeriden,1.135,Ataşehir,7,8,1,2,2,0,1.0,0,33689.0
83,Konya,420000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 1.8 T Advance,2000,342000.0,Otomatik,LPG & Benzin,Sedan,Lacivert,1781.0,150.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,780.0,Meram,7,0,0,0,0,13,0.0,0,
85,Tekirdağ,750000,2025-04-07 00:00:00,Audi,A4,A4 Sedan 1.8 TFSI,2010,280000.0,Otomatik,Benzin,Sedan,Beyaz,1798.0,120.0,Önden Çekiş,Belirtilmemis,Sahibinden,4168,Çorlu,7,1,0,9,3,0,,0,
